# FQM_w,     FQM_I,    FQM_I_of_C_after_erf  
-12.140000       -0.008599       -0.000056 
-12.120000       -0.003949       -0.000056 
-12.100000       0.004308       -0.000055 
-12.080000       0.008580       -0.000055 
-12.060000       0.004915       -0.000054 
-12.040000       -0.003344       -0.000054 
-12.020000       -0.008608       -0.000053 
-12.000000       -0.006012       -0.000053 
-11.980000       0.002086       -0.000052 
-11.960000       0.008250       -0.000051 
-11.940000       0.006792       -0.000051 
-11.920000       -0.000978       -0.000050 
-11.900000       -0.007927       -0.000050 
-11.880000       -0.007649       -0.000049 
-11.860000       -0.000367       -0.000049 
-11.840000       0.007241       -0.000048 
-11.820000       0.008166       -0.000048 
-11.800000       0.001526       -0.000047 
-11.780000       -0.006593       -0.000047 
-11.760000       -0.008716       -0.000046 
-11.740000       -0.002860       -0.000046 
-11.720000       0.005616       -0.000045 
-11.700000       0.008914       -0.000045 
-11.680000       0.003972       -0.000044 
-11.660000       -0.004693       -0.000044 
-11.640000       -0.009113       -0.000043 
-11.620000       -0.005195       -0.000042 
-11.600000       0.003489       -0.000042 
-11.580000       0.008959       -0.000041 
-11.560000       0.006161       -0.000041 
-11.540000       -0.002366       -0.000040 
-11.520000       -0.008789       -0.000040 
-11.500000       -0.007179       -0.000039 
-11.480000       0.001018       -0.000039 
-11.460000       0.008279       -0.000038 
-11.440000       0.007910       -0.000038 
-11.420000       0.000215       -0.000037 
-11.400000       -0.007749       -0.000037 
-11.380000       -0.008643       -0.000036 
-11.360000       -0.001609       -0.000036 
-11.340000       0.006908       -0.000035 
-11.320000       0.009067       -0.000035 
-11.300000       0.002848       -0.000034 
-11.280000       -0.006056       -0.000034 
-11.260000       -0.009453       -0.000033 
-11.240000       -0.004185       -0.000032 
-11.220000       0.004936       -0.000032 
-11.200000       0.009522       -0.000031 
-11.180000       0.005326       -0.000031 
-11.160000       -0.003827       -0.000030 
-11.140000       -0.009525       -0.000030 
-11.120000       -0.006500       -0.000029 
-11.100000       0.002504       -0.000029 
-11.080000       0.009218       -0.000028 
-11.060000       0.007443       -0.000028 
-11.040000       -0.001226       -0.000027 
-11.020000       -0.008833       -0.000026 
-11.000000       -0.008360       -0.000026 
-10.980000       -0.000204       -0.000025 
-10.960000       0.008158       -0.000025 
-10.940000       0.009019       -0.000024 
-10.920000       0.001550       -0.000023 
-10.900000       -0.007407       -0.000023 
-10.880000       -0.009603       -0.000022 
-10.860000       -0.002980       -0.000022 
-10.840000       0.006404       -0.000021 
-10.820000       0.009913       -0.000020 
-10.800000       0.004284       -0.000020 
-10.780000       -0.005341       -0.000019 
-10.760000       -0.010109       -0.000018 
-10.740000       -0.005601       -0.000018 
-10.720000       0.004077       -0.000017 
-10.700000       0.010031       -0.000016 
-10.680000       0.006754       -0.000016 
-10.660000       -0.002779       -0.000015 
-10.640000       -0.009815       -0.000014 
-10.620000       -0.007853       -0.000014 
-10.600000       0.001345       -0.000013 
-10.580000       0.009339       -0.000012 
-10.560000       0.008755       -0.000012 
-10.540000       0.000086       -0.000011 
-10.520000       -0.008718       -0.000010 
-10.500000       -0.009541       -0.000009 
-10.480000       -0.001582       -0.000009 
-10.460000       0.007870       -0.000008 
-10.440000       0.010110       -0.000007 
-10.420000       0.003036       -0.000006 
-10.400000       -0.006880       -0.000005 
-10.380000       -0.010513       -0.000005 
-10.360000       -0.004477       -0.000004 
-10.340000       0.005715       -0.000003 
-10.320000       0.010691       -0.000002 
-10.300000       0.005837       -0.000001 
-10.280000       -0.004426       -0.000000 
-10.260000       -0.010665       0.000001 
-10.240000       -0.007105       0.000002 
-10.220000       0.003026       0.000003 
-10.200000       0.010426       0.000003 
-10.180000       0.008257       0.000004 
-10.160000       -0.001532       0.000005 
-10.140000       -0.009958       0.000006 
-10.120000       -0.009245       0.000007 
-10.100000       0.000003       0.000009 
-10.080000       0.009308       0.000010 
-10.060000       0.010092       0.000011 
-10.040000       0.001586       0.000012 
-10.020000       -0.008420       0.000013 
-10.000000       -0.010707       0.000014 
-9.980000       -0.003123       0.000015 
-9.960000       0.007398       0.000016 
-9.940000       0.011173       0.000018 
-9.920000       0.004684       0.000019 
-9.900000       -0.006144       0.000020 
-9.880000       -0.011351       0.000021 
-9.860000       -0.006102       0.000023 
-9.840000       0.004825       0.000024 
-9.820000       0.011389       0.000026 
-9.800000       0.007513       0.000027 
-9.780000       -0.003288       0.000028 
-9.760000       -0.011095       0.000030 
-9.740000       -0.008690       0.000031 
-9.720000       0.001772       0.000033 
-9.700000       0.010692       0.000034 
-9.680000       0.009838       0.000036 
-9.660000       -0.000061       0.000038 
-9.640000       -0.009928       0.000039 
-9.620000       -0.010663       0.000041 
-9.600000       -0.001532       0.000043 
-9.580000       0.009106       0.000044 
-9.560000       0.011452       0.000046 
-9.540000       0.003294       0.000048 
-9.520000       -0.007908       0.000050 
-9.500000       -0.011839       0.000052 
-9.480000       -0.004829       0.000054 
-9.460000       0.006728       0.000056 
-9.440000       0.012203       0.000058 
-9.420000       0.006511       0.000060 
-9.400000       -0.005165       0.000062 
-9.380000       -0.012094       0.000064 
-9.360000       -0.007852       0.000067 
