# time        DeltaCorr_Re_MC      DeltaCorr_Im_MC      DeltaCorr_Re_E17      DeltaCorr_Im_E17 
0.0000000000       -0.0000644333       0.0000000412       0.0009041642       0.0000000412
0.0000000000       -0.0000644822       0.0000010634       0.0009041153       0.0000010634
0.0000000000       -0.0000644953       0.0000020953       0.0009041022       0.0000020953
0.0000000000       -0.0000644722       0.0000031354       0.0009041253       0.0000031354
0.0000000000       -0.0000644124       0.0000041820       0.0009041851       0.0000041820
0.0000000000       -0.0000643156       0.0000052335       0.0009042818       0.0000052335
0.0000000000       -0.0000641815       0.0000062883       0.0009044159       0.0000062883
0.0000000000       -0.0000640100       0.0000073446       0.0009045875       0.0000073446
0.0000000000       -0.0000638008       0.0000084009       0.0009047967       0.0000084009
0.0000000000       -0.0000635539       0.0000094554       0.0009050436       0.0000094554
0.0000000000       -0.0000632694       0.0000105065       0.0009053281       0.0000105065
0.0000000000       -0.0000629473       0.0000115526       0.0009056502       0.0000115526
0.0000000000       -0.0000625878       0.0000125919       0.0009060097       0.0000125919
