# time        DeltaCorr_Re_MC      DeltaCorr_Im_MC      DeltaCorr_Re_E17      DeltaCorr_Im_E17 
0.0000000000       -0.0000610341       -0.0000212565       0.0009602974       -0.0000212565
0.0000000000       -0.0000616466       -0.0000210193       0.0009596849       -0.0000210193
0.0000000000       -0.0000622668       -0.0000207462       0.0009590647       -0.0000207462
0.0000000000       -0.0000628930       -0.0000204368       0.0009584385       -0.0000204368
0.0000000000       -0.0000635233       -0.0000200909       0.0009578082       -0.0000200909
0.0000000000       -0.0000641559       -0.0000197082       0.0009571757       -0.0000197082
0.0000000000       -0.0000647889       -0.0000192885       0.0009565426       -0.0000192885
0.0000000000       -0.0000654205       -0.0000188319       0.0009559110       -0.0000188319
0.0000000000       -0.0000660490       -0.0000183383       0.0009552825       -0.0000183383
0.0000000000       -0.0000666724       -0.0000178079       0.0009546591       -0.0000178079
0.0000000000       -0.0000672890       -0.0000172409       0.0009540425       -0.0000172409
0.0000000000       -0.0000678969       -0.0000166376       0.0009534346       -0.0000166376
0.0000000000       -0.0000684944       -0.0000159983       0.0009528371       -0.0000159983
0.0000000000       -0.0000690797       -0.0000153234       0.0009522518       -0.0000153234
0.0000000000       -0.0000696511       -0.0000146136       0.0009516804       -0.0000146136
0.0000000000       -0.0000702068       -0.0000138693       0.0009511247       -0.0000138693
0.0000000000       -0.0000707452       -0.0000130914       0.0009505863       -0.0000130914
0.0000000000       -0.0000712646       -0.0000122805       0.0009500669       -0.0000122805
0.0000000000       -0.0000717634       -0.0000114375       0.0009495681       -0.0000114375
0.0000000000       -0.0000722401       -0.0000105633       0.0009490914       -0.0000105633
0.0000000000       -0.0000726931       -0.0000096589       0.0009486384       -0.0000096589
0.0000000000       -0.0000731209       -0.0000087253       0.0009482106       -0.0000087253
0.0000000000       -0.0000735222       -0.0000077636       0.0009478093       -0.0000077636
0.0000000000       -0.0000738955       -0.0000067750       0.0009474360       -0.0000067750
0.0000000000       -0.0000742396       -0.0000057607       0.0009470920       -0.0000057607
0.0000000000       -0.0000745531       -0.0000047221       0.0009467784       -0.0000047221
0.0000000000       -0.0000748349       -0.0000036604       0.0009464966       -0.0000036604
0.0000000000       -0.0000750838       -0.0000025771       0.0009462477       -0.0000025771
0.0000000000       -0.0000752988       -0.0000014736       0.0009460327       -0.0000014736
0.0000000000       -0.0000754789       -0.0000003514       0.0009458526       -0.0000003514
0.0000000000       -0.0000756231       0.0000007879       0.0009457084       0.0000007879
0.0000000000       -0.0000757306       0.0000019428       0.0009456009       0.0000019428
0.0000000000       -0.0000758006       0.0000031117       0.0009455309       0.0000031117
0.0000000000       -0.0000758324       0.0000042928       0.0009454991       0.0000042928
0.0000000000       -0.0000758253       0.0000054846       0.0009455062       0.0000054846
0.0000000000       -0.0000757788       0.0000066853       0.0009455528       0.0000066853
0.0000000000       -0.0000756923       0.0000078932       0.0009456392       0.0000078932
0.0000000000       -0.0000755656       0.0000091066       0.0009457659       0.0000091066
0.0000000000       -0.0000753982       0.0000103236       0.0009459333       0.0000103236
0.0000000000       -0.0000751899       0.0000115425       0.0009461416       0.0000115425
0.0000000000       -0.0000749406       0.0000127616       0.0009463909       0.0000127616
0.0000000000       -0.0000746501       0.0000139790       0.0009466814       0.0000139790
0.0000000000       -0.0000743185       0.0000151929       0.0009470130       0.0000151929
0.0000000000       -0.0000739459       0.0000164016       0.0009473856       0.0000164016
0.0000000000       -0.0000735323       0.0000176032       0.0009477992       0.0000176032
0.0000000000       -0.0000730780       0.0000187960       0.0009482535       0.0000187960
0.0000000000       -0.0000725834       0.0000199783       0.0009487481       0.0000199783
0.0000000000       -0.0000720488       0.0000211482       0.0009492827       0.0000211482
