# FQM_w,     FQM_I,     DCL_I,     ACL_I
-14.590000       -0.001139       -0.001316       -0.000136
-14.580000       -0.001135       -0.005531       -0.000133
-14.570000       -0.001132       -0.009259       -0.000130
-14.560000       -0.001129       -0.012167       -0.000128
-14.550000       -0.001126       -0.013993       -0.000125
-14.540000       -0.001123       -0.014574       -0.000122
-14.530000       -0.001119       -0.013858       -0.000119
-14.520000       -0.001116       -0.011906       -0.000116
-14.510000       -0.001113       -0.008893       -0.000114
-14.500000       -0.001110       -0.005087       -0.000111
-14.490000       -0.001107       -0.000828       -0.000108
-14.480000       -0.001104       0.003505       -0.000105
-14.470000       -0.001101       0.007524       -0.000103
-14.460000       -0.001097       0.010870       -0.000100
-14.450000       -0.001094       0.013244       -0.000097
-14.440000       -0.001091       0.014432       -0.000095
-14.430000       -0.001088       0.014328       -0.000092
-14.420000       -0.001085       0.012941       -0.000089
-14.410000       -0.001082       0.010392       -0.000087
-14.400000       -0.001079       0.006910       -0.000084
-14.390000       -0.001076       0.002805       -0.000081
-14.380000       -0.001073       -0.001558       -0.000079
-14.370000       -0.001070       -0.005787       -0.000076
-14.360000       -0.001067       -0.009506       -0.000074
-14.350000       -0.001064       -0.012380       -0.000071
-14.340000       -0.001061       -0.014154       -0.000068
-14.330000       -0.001058       -0.014667       -0.000066
-14.320000       -0.001055       -0.013873       -0.000063
-14.310000       -0.001052       -0.011841       -0.000061
-14.300000       -0.001049       -0.008752       -0.000058
-14.290000       -0.001046       -0.004882       -0.000056
-14.280000       -0.001043       -0.000575       -0.000053
-14.270000       -0.001040       0.003784       -0.000051
-14.260000       -0.001037       0.007806       -0.000048
-14.250000       -0.001034       0.011130       -0.000046
-14.240000       -0.001031       0.013460       -0.000043
-14.230000       -0.001028       0.014587       -0.000041
-14.220000       -0.001025       0.014409       -0.000039
-14.210000       -0.001022       0.012941       -0.000036
-14.200000       -0.001019       0.010312       -0.000034
-14.190000       -0.001017       0.006759       -0.000031
-14.180000       -0.001014       0.002596       -0.000029
-14.170000       -0.001011       -0.001804       -0.000027
-14.160000       -0.001008       -0.006048       -0.000024
-14.150000       -0.001005       -0.009757       -0.000022
-14.140000       -0.001002       -0.012598       -0.000020
-14.130000       -0.000999       -0.014319       -0.000017
-14.120000       -0.000996       -0.014762       -0.000015
